Event,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Medal
"Shooting Women's Sporting Pistol, 25 metres",5,5,5,5,5,5,5,5,5,5,5,5,5,0
Shooting Women's Trap,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Swimming Men's 1,500 metres Freestyle",16,16,16,16,11,11,16,16,16,16,16,16,16,1
Swimming Men's 10 kilometres Open Water,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Swimming Men's 100 metres Backstroke,29,29,29,27,19,17,29,29,29,29,29,29,29,0
Swimming Men's 100 metres Breaststroke,15,15,15,15,15,15,15,15,15,15,15,15,15,0
Swimming Men's 100 metres Butterfly,17,17,17,17,15,15,17,17,17,17,17,17,17,0
Swimming Men's 100 metres Freestyle,40,40,40,37,25,21,40,40,40,40,40,40,40,4
Swimming Men's 200 metres Backstroke,14,14,14,14,14,14,14,14,14,14,14,14,14,0
Swimming Men's 200 metres Breaststroke,21,21,21,20,16,12,21,21,21,21,21,21,21,0
Swimming Men's 200 metres Butterfly,14,14,14,14,13,12,14,14,14,14,14,14,14,0
Swimming Men's 200 metres Freestyle,16,16,16,16,16,16,16,16,16,16,16,16,16,1
Swimming Men's 200 metres Individual Medley,13,13,13,13,12,12,13,13,13,13,13,13,13,0
Swimming Men's 4 x 100 metres Freestyle Relay,41,41,41,41,39,39,41,41,41,41,41,41,41,4
Swimming Men's 4 x 100 metres Medley Relay,50,50,50,50,49,43,50,50,50,50,50,50,50,0
Swimming Men's 4 x 200 metres Freestyle Relay,56,56,56,55,40,40,56,56,56,56,56,56,56,4
Swimming Men's 400 metres Freestyle,17,17,17,17,11,11,17,17,17,17,17,17,17,0
Swimming Men's 400 metres Individual Medley,11,11,11,11,11,11,11,11,11,11,11,11,11,2
Swimming Men's 50 metres Freestyle,15,15,15,15,14,14,15,15,15,15,15,15,15,3
Swimming Women's 10 kilometres Open Water,5,5,5,5,5,5,5,5,5,5,5,5,5,1
Swimming Women's 100 metres Backstroke,8,8,8,8,5,4,8,8,8,8,8,8,8,0
Swimming Women's 100 metres Breaststroke,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Swimming Women's 100 metres Butterfly,9,9,9,9,9,9,9,9,9,9,9,9,9,0
Swimming Women's 100 metres Freestyle,16,16,16,16,10,9,16,16,16,16,16,16,16,0
Swimming Women's 200 metres Breaststroke,5,5,5,5,5,3,5,5,5,5,5,5,5,0
Swimming Women's 200 metres Butterfly,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Swimming Women's 200 metres Freestyle,6,6,6,6,6,6,6,6,6,6,6,6,6,0
